Year	Description	Temperature
1880	Glob	-19
1881	Glob	-10
1882	Glob	-9
1883	Glob	-19
1884	Glob	-27
1885	Glob	-31
1886	Glob	-30
1887	Glob	-33
1888	Glob	-20
1889	Glob	-11
1890	Glob	-36
1891	Glob	-23
1892	Glob	-26
1893	Glob	-29
1894	Glob	-30
1895	Glob	-21
1896	Glob	-14
1897	Glob	-11
1898	Glob	-28
1899	Glob	-16
1900	Glob	-8
1901	Glob	-13
1902	Glob	-26
1903	Glob	-35
1904	Glob	-44
1905	Glob	-27
1906	Glob	-21
1907	Glob	-39
1908	Glob	-42
1909	Glob	-47
1910	Glob	-42
1911	Glob	-44
1912	Glob	-35
1913	Glob	-33
1914	Glob	-15
1915	Glob	-10
1916	Glob	-33
1917	Glob	-39
1918	Glob	-24
1919	Glob	-21
1920	Glob	-25
1921	Glob	-19
1922	Glob	-26
1923	Glob	-22
1924	Glob	-26
1925	Glob	-19
1926	Glob	-8
1927	Glob	-20
1928	Glob	-20
1929	Glob	-35
1930	Glob	-13
1931	Glob	-9
1932	Glob	-16
1933	Glob	-28
1934	Glob	-13
1935	Glob	-19
1936	Glob	-14
1937	Glob	-1
1938	Glob	-2
1939	Glob	-3
1940	Glob	8
1941	Glob	13
1942	Glob	10
1943	Glob	14
1944	Glob	26
1945	Glob	13
1946	Glob	-3
1947	Glob	-3
1948	Glob	-9
1949	Glob	-9
1950	Glob	-18
1951	Glob	-7
1952	Glob	1
1953	Glob	8
1954	Glob	-12
1955	Glob	-14
1956	Glob	-20
1957	Glob	3
1958	Glob	6
1959	Glob	3
1960	Glob	-3
1961	Glob	5
1962	Glob	3
1963	Glob	6
1964	Glob	-20
1965	Glob	-10
1966	Glob	-5
1967	Glob	-2
1968	Glob	-7
1969	Glob	6
1970	Glob	3
1971	Glob	-9
1972	Glob	1
1973	Glob	15
1974	Glob	-8
1975	Glob	-1
1976	Glob	-11
1977	Glob	18
1978	Glob	7
1979	Glob	17
1980	Glob	28
1981	Glob	33
1982	Glob	13
1983	Glob	31
1984	Glob	16
1985	Glob	12
1986	Glob	19
1987	Glob	34
1988	Glob	40
1989	Glob	29
1990	Glob	44
1991	Glob	42
1992	Glob	23
1993	Glob	24
1994	Glob	32
1995	Glob	46
1996	Glob	35
1997	Glob	48
1998	Glob	63
1999	Glob	42
2000	Glob	42
2001	Glob	55
2002	Glob	63
2003	Glob	62
2004	Glob	55
2005	Glob	69
2006	Glob	64
2007	Glob	66
2008	Glob	54
2009	Glob	65
2010	Glob	71
2011	Glob	60
2012	Glob	63
2013	Glob	66
2014	Glob	75
1880	NHem	-33
1881	NHem	-18
1882	NHem	-17
1883	NHem	-30
1884	NHem	-42
1885	NHem	-41
1886	NHem	-39
1887	NHem	-37
1888	NHem	-22
1889	NHem	-16
1890	NHem	-40
1891	NHem	-23
1892	NHem	-30
1893	NHem	-39
1894	NHem	-37
1895	NHem	-28
1896	NHem	-20
1897	NHem	-13
1898	NHem	-28
1899	NHem	-17
1900	NHem	-3
1901	NHem	-8
1902	NHem	-29
1903	NHem	-35
1904	NHem	-45
1905	NHem	-28
1906	NHem	-20
1907	NHem	-46
1908	NHem	-45
1909	NHem	-48
1910	NHem	-43
1911	NHem	-41
1912	NHem	-47
1913	NHem	-42
1914	NHem	-18
1915	NHem	-9
1916	NHem	-35
1917	NHem	-52
1918	NHem	-32
1919	NHem	-32
1920	NHem	-26
1921	NHem	-8
1922	NHem	-25
1923	NHem	-18
1924	NHem	-15
1925	NHem	-7
1926	NHem	4
1927	NHem	-10
1928	NHem	-7
1929	NHem	-30
1930	NHem	2
1931	NHem	5
1932	NHem	-3
1933	NHem	-24
1934	NHem	1
1935	NHem	-8
1936	NHem	-3
1937	NHem	13
1938	NHem	14
1939	NHem	7
1940	NHem	14
1941	NHem	16
1942	NHem	14
1943	NHem	21
1944	NHem	28
1945	NHem	9
1946	NHem	7
1947	NHem	5
1948	NHem	0
1949	NHem	-2
1950	NHem	-16
1951	NHem	5
1952	NHem	5
1953	NHem	22
1954	NHem	-4
1955	NHem	-9
1956	NHem	-25
1957	NHem	4
1958	NHem	16
1959	NHem	11
1960	NHem	8
1961	NHem	8
1962	NHem	14
1963	NHem	15
1964	NHem	-20
1965	NHem	-13
1966	NHem	0
1967	NHem	3
1968	NHem	-5
1969	NHem	-2
1970	NHem	-3
1971	NHem	-15
1972	NHem	-18
1973	NHem	10
1974	NHem	-19
1975	NHem	-5
1976	NHem	-21
1977	NHem	12
1978	NHem	2
1979	NHem	8
1980	NHem	16
1981	NHem	39
1982	NHem	6
1983	NHem	26
1984	NHem	5
1985	NHem	0
1986	NHem	14
1987	NHem	27
1988	NHem	37
1989	NHem	29
1990	NHem	51
1991	NHem	41
1992	NHem	12
1993	NHem	20
1994	NHem	36
1995	NHem	58
1996	NHem	28
1997	NHem	53
1998	NHem	73
1999	NHem	52
2000	NHem	51
2001	NHem	64
2002	NHem	71
2003	NHem	72
2004	NHem	67
2005	NHem	84
2006	NHem	80
2007	NHem	83
2008	NHem	66
2009	NHem	71
2010	NHem	88
2011	NHem	71
2012	NHem	77
2013	NHem	76
2014	NHem	91
1880	SHem	-5
1881	SHem	-2
1882	SHem	-1
1883	SHem	-8
1884	SHem	-12
1885	SHem	-21
1886	SHem	-21
1887	SHem	-28
1888	SHem	-17
1889	SHem	-6
1890	SHem	-33
1891	SHem	-24
1892	SHem	-21
1893	SHem	-19
1894	SHem	-23
1895	SHem	-14
1896	SHem	-8
1897	SHem	-9
1898	SHem	-29
1899	SHem	-15
1900	SHem	-13
1901	SHem	-19
1902	SHem	-23
1903	SHem	-35
1904	SHem	-42
1905	SHem	-26
1906	SHem	-23
1907	SHem	-31
1908	SHem	-39
1909	SHem	-46
1910	SHem	-41
1911	SHem	-47
1912	SHem	-22
1913	SHem	-25
1914	SHem	-13
1915	SHem	-11
1916	SHem	-30
1917	SHem	-26
1918	SHem	-17
1919	SHem	-10
1920	SHem	-24
1921	SHem	-31
1922	SHem	-27
1923	SHem	-27
1924	SHem	-38
1925	SHem	-30
1926	SHem	-21
1927	SHem	-29
1928	SHem	-33
1929	SHem	-40
1930	SHem	-29
1931	SHem	-23
1932	SHem	-30
1933	SHem	-31
1934	SHem	-27
1935	SHem	-29
1936	SHem	-26
1937	SHem	-16
1938	SHem	-18
1939	SHem	-13
1940	SHem	3
1941	SHem	10
1942	SHem	6
1943	SHem	7
1944	SHem	24
1945	SHem	16
1946	SHem	-12
1947	SHem	-12
1948	SHem	-18
1949	SHem	-16
1950	SHem	-19
1951	SHem	-18
1952	SHem	-3
1953	SHem	-6
1954	SHem	-20
1955	SHem	-19
1956	SHem	-14
1957	SHem	3
1958	SHem	-5
1959	SHem	-4
1960	SHem	-13
1961	SHem	3
1962	SHem	-9
1963	SHem	-3
1964	SHem	-21
1965	SHem	-7
1966	SHem	-10
1967	SHem	-8
1968	SHem	-9
1969	SHem	14
1970	SHem	9
1971	SHem	-3
1972	SHem	20
1973	SHem	20
1974	SHem	4
1975	SHem	2
1976	SHem	-2
1977	SHem	24
1978	SHem	12
1979	SHem	26
1980	SHem	39
1981	SHem	27
1982	SHem	21
1983	SHem	35
1984	SHem	27
1985	SHem	25
1986	SHem	25
1987	SHem	41
1988	SHem	43
1989	SHem	29
1990	SHem	36
1991	SHem	44
1992	SHem	33
1993	SHem	29
1994	SHem	27
1995	SHem	34
1996	SHem	42
1997	SHem	42
1998	SHem	54
1999	SHem	32
2000	SHem	33
2001	SHem	46
2002	SHem	56
2003	SHem	52
2004	SHem	42
2005	SHem	55
2006	SHem	47
2007	SHem	49
2008	SHem	42
2009	SHem	59
2010	SHem	55
2011	SHem	50
2012	SHem	50
2013	SHem	56
2014	SHem	58
